Input file:; C:/Users/lutzjj/Desktop/Venation Project/Data 020518/72.tif
Analysis name:;72
VoxelSize_X:;0.001399;[mm];VoxelSize_Y:;0.001399;[mm]
Number of leaf pixels:;6308715
Total leaf area (from mask):;12.3474233067;[mm^2]
Total skeleton length:;112.271575741;[mm]
Average vein density:;9.09271294521;[mm mm^-2]
Number of skeleton pieces:;770
Number of skeleton end points:;145
Number of skeleton branching points:;466
Number of areoles:;167
Areole Pixels:;1088609.0;127820.0;102251.0;90730.0;85814.0;77685.0;75314.0;72875.0;71752.0;70875.0;64452.0;62713.0;62239.0;59714.0;59511.0;57630.0;56810.0;54299.0;53527.0;53254.0;52006.0;51999.0;51905.0;51214.0;50705.0;50227.0;49874.0;49526.0;49036.0;48243.0;47570.0;47504.0;46966.0;46184.0;44935.0;44794.0;43952.0;43832.0;43375.0;42866.0;42554.0;42026.0;41875.0;41319.0;40221.0;39629.0;39362.0;38443.0;37640.0;37309.0;36774.0;36050.0;36016.0;35980.0;35939.0;35867.0;35852.0;35552.0;34947.0;34213.0;33753.0;33511.0;33418.0;33415.0;33297.0;33250.0;32977.0;32539.0;32121.0;31855.0;31207.0;31169.0;30956.0;30843.0;30817.0;30678.0;30317.0;30222.0;30209.0;30130.0;29890.0;29877.0;29568.0;28960.0;28722.0;28351.0;28071.0;26871.0;25595.0;25565.0;25458.0;25337.0;25323.0;25176.0;24849.0;24834.0;24482.0;24270.0;24022.0;23273.0;22988.0;22941.0;22934.0;22649.0;22248.0;21886.0;21836.0;21724.0;21638.0;21191.0;20861.0;20252.0;20200.0;20111.0;20051.0;20017.0;19985.0;19778.0;19651.0;18812.0;18236.0;17879.0;17596.0;17513.0;17464.0;17040.0;17022.0;16896.0;15935.0;15250.0;15222.0;14624.0;13878.0;13844.0;13790.0;13612.0;13234.0;13212.0;13096.0;12941.0;12760.0;12407.0;11906.0;11732.0;10501.0;10455.0;10309.0;10023.0;9931.0;9594.0;9136.0;8975.0;8784.0;8246.0;8011.0;7942.0;6167.0;5197.0;4682.0;2844.0;189.0;86.0;79.0;75.0;73.0;58.0;56.0;
