Input file:; C:/Users/lutzjj/Desktop/Venation Project/Data 010818/196.tif
Analysis name:;196
VoxelSize_X:;0.001399;[mm];VoxelSize_Y:;0.001399;[mm]
Number of leaf pixels:;12071795
Total leaf area (from mask):;23.6269292458;[mm^2]
Total skeleton length:;121.207694247;[mm]
Average vein density:;5.1300654853;[mm mm^-2]
Number of skeleton pieces:;451
Number of skeleton end points:;140
Number of skeleton branching points:;254
Number of areoles:;65
Areole Pixels:;3796632.0;531026.0;433192.0;343617.0;287218.0;260150.0;259026.0;238866.0;237898.0;212690.0;207467.0;200912.0;188070.0;160956.0;160830.0;157045.0;149649.0;148669.0;143152.0;142829.0;142434.0;142366.0;130757.0;126295.0;125057.0;124912.0;123014.0;122675.0;119225.0;116857.0;114444.0;110217.0;108973.0;108130.0;106453.0;106392.0;106390.0;97876.0;97792.0;95548.0;91211.0;83571.0;82821.0;76271.0;76015.0;70468.0;68805.0;67451.0;67269.0;66319.0;63962.0;59747.0;58905.0;57773.0;49594.0;46816.0;45888.0;44720.0;43519.0;42249.0;41417.0;37011.0;26818.0;25449.0;14687.0;
Aeriole [mm^2]:;7.43077194703;1.03932461823;0.847843815592;0.672527536017;0.562143356818;0.50916584015;0.506965946226;0.467508774066;0.465614203498;0.41627708069;0.406054619867;0.393225167312;0.36809079207;0.315023244156;0.31477663683;0.307368631045;0.292893172449;0.290975115469;0.280177237552;0.279545061629;0.278771967234;0.278638877566;0.255917731157;0.247184700295;0.244761685457;0.244477891312;0.240763123814;0.240099632675;0.233347289225;0.228712637257;0.223989911244;0.215716822617;0.213282064573;0.21163214413;0.208349918053;0.208230528792;0.20822661439;0.191563005076;0.191398600192;0.187006641148;0.178518260411;0.163565244771;0.162097344021;0.149277677471;0.148776634015;0.137920040068;0.134665214805;0.132015164651;0.131658954069;0.129799613119;0.125186490362;0.116936888147;0.115288924905;0.113073373373;0.097065426394;0.091628322016;0.089812039488;0.08752602872;0.085175430319;0.082689785049;0.081061393817;0.072437966211;0.052488216418;0.049808808249;0.028745411087;
