Input file:; C:/Users/lutzjj/Desktop/Venation Project/Data 120617/219.tif
Analysis name:;219
VoxelSize_X:;0.001399;[mm];VoxelSize_Y:;0.001399;[mm]
Number of leaf pixels:;12199360
Total leaf area (from mask):;23.8765995914;[mm^2]
Total skeleton length:;189.193112258;[mm]
Average vein density:;7.92378795541;[mm mm^-2]
Number of skeleton pieces:;1183
Number of skeleton end points:;438
Number of skeleton branching points:;643
Number of areoles:;121
Areole Pixels:;4073086.0;251086.0;219758.0;196788.0;171039.0;161510.0;159357.0;156531.0;155080.0;154446.0;148248.0;143443.0;142297.0;141144.0;139943.0;139569.0;136470.0;131666.0;131503.0;124489.0;124037.0;119842.0;117989.0;116929.0;114477.0;112743.0;111442.0;109616.0;108521.0;107359.0;103464.0;97299.0;97298.0;96487.0;95271.0;93087.0;90027.0;88816.0;86254.0;86100.0;82138.0;81810.0;81486.0;74193.0;73873.0;71765.0;70390.0;69966.0;68317.0;67364.0;67073.0;66149.0;64446.0;62790.0;62344.0;61020.0;60960.0;59294.0;59036.0;58708.0;58436.0;56613.0;54665.0;52879.0;51221.0;48829.0;48313.0;47861.0;47743.0;46924.0;44980.0;43277.0;42983.0;42665.0;42076.0;40506.0;40211.0;40210.0;39566.0;39332.0;38627.0;38268.0;37889.0;36550.0;35580.0;34718.0;34397.0;32710.0;30149.0;29925.0;29674.0;26855.0;24335.0;21477.0;20795.0;16751.0;16688.0;14876.0;14865.0;14383.0;13111.0;12900.0;12618.0;10571.0;9438.0;8650.0;7484.0;5002.0;314.0;299.0;190.0;155.0;126.0;101.0;91.0;80.0;74.0;62.0;57.0;57.0;57.0;
Aeriole [mm^2]:;7.97184799229;0.491425770286;0.430110577358;0.385153670388;0.334757701839;0.31610753351;0.311893679757;0.306362629731;0.30352273108;0.302281865646;0.290151133848;0.280746783043;0.278503830697;0.276247177944;0.273896579543;0.273164586369;0.26709922047;0.257696826866;0.257377803103;0.243649995289;0.242765340437;0.234554882242;0.230928188789;0.228853555729;0.224054498877;0.220660712343;0.218114393842;0.214540544816;0.212397409721;0.210123142159;0.202499844264;0.190433700099;0.190431742898;0.188844452887;0.186464496471;0.182189969487;0.176200934427;0.173830764016;0.168816415054;0.1685150061;0.160760575738;0.16011861381;0.159484480686;0.145210613793;0.144584309473;0.140458529765;0.13776737839;0.136937525166;0.133710100717;0.131844888164;0.131275342673;0.129466888949;0.126133775646;0.12289265079;0.122019739144;0.11942840502;0.11931097296;0.116050276094;0.115545318236;0.114903356308;0.114370997636;0.110803020213;0.106990392665;0.103494831679;0.100249792421;0.095568167629;0.094558251913;0.093673597061;0.093442647343;0.091839699724;0.08803490098;0.084701787677;0.084126370583;0.083503980665;0.082351189276;0.079278383706;0.078701009411;0.07869905221;0.077438614766;0.076980629732;0.075600803027;0.074898167868;0.074156388689;0.07153569655;0.06963721158;0.067950104318;0.067321842797;0.06402004471;0.059007652949;0.058569239925;0.058077982474;0.052560632855;0.047628486335;0.042034805877;0.040699994795;0.032785073951;0.032661770288;0.029115322076;0.029093792865;0.028150421983;0.025660862311;0.0252478929;0.024695962218;0.020689571771;0.018472063038;0.01692978865;0.014647692284;0.009789919402;0.000614561114;0.000585203099;0.00037186819;0.000303366155;0.000246607326;0.000197677301;0.000178105291;0.00015657608;0.000144832874;0.000121346462;0.000111560457;0.000111560457;0.000111560457;
